student_id,age,gender,degree,branch,college_tier,skills_count,internships,projects,coding_level,cgpa,placement_status,job_role,package_lpa
S278,20,F,BCA,EEE,Tier-2,8,2,2,Advanced,9.0,Placed,Design Engineer,19.7
S279,22,F,MBA,Finance,Tier-2,9,0,5,Advanced,8.18,Placed,HR Analyst,21.3
S280,20,M,BCA,IT,Tier-1,7,2,1,Advanced,8.05,Placed,ML Engineer,15.9
S281,22,F,MBA,Data Science,Tier-2,2,2,6,Intermediate,8.43,Not Placed,,0.0
S282,23,F,M.Sc,Civil,Tier-1,2,0,5,Intermediate,9.27,Not Placed,,0.0
S283,23,F,M.Sc,Civil,Tier-1,9,0,5,Advanced,7.32,Placed,Web Developer,17.1
S284,21,F,B.Tech,ME,Tier-1,6,2,6,Basic,8.05,Placed,Business Analyst,18.3
S285,24,F,M.Sc,EEE,Tier-2,7,1,6,Basic,6.81,Not Placed,,0.0
S286,21,M,B.Tech,Civil,Tier-1,10,3,1,Basic,9.43,Placed,HR Analyst,18.7
S287,23,M,B.Tech,Commerce,Tier-2,4,0,6,Intermediate,8.06,Not Placed,,0.0
S288,24,F,B.Tech,Civil,Tier-2,5,0,3,Advanced,9.13,Placed,Software Engineer,8.2
S289,22,M,B.Tech,Commerce,Tier-1,6,3,4,Advanced,7.1,Placed,Data Analyst,12.8
S290,21,M,MBA,Finance,Tier-3,2,1,5,Basic,8.17,Not Placed,,0.0
S291,20,F,B.Tech,Commerce,Tier-3,3,3,6,Intermediate,7.75,Not Placed,,0.0
S292,23,F,BCA,EEE,Tier-1,7,0,3,Basic,7.15,Placed,Business Analyst,3.4
S293,21,F,MBA,IT,Tier-3,3,2,5,Intermediate,7.49,Not Placed,,0.0
S294,24,F,B.Tech,ME,Tier-3,9,3,4,Intermediate,8.67,Placed,Design Engineer,20.8
S295,20,F,MBA,Finance,Tier-1,5,2,4,Advanced,8.77,Placed,HR Analyst,21.1
S296,24,M,M.Sc,EEE,Tier-1,9,3,1,Intermediate,6.05,Not Placed,,0.0
S297,24,M,MBA,IT,Tier-3,7,1,6,Intermediate,8.86,Placed,Design Engineer,6.3
S298,23,M,B.Tech,ME,Tier-2,10,3,6,Advanced,9.24,Placed,Software Engineer,19.9
S299,22,F,M.Sc,Commerce,Tier-1,2,3,2,Intermediate,8.32,Not Placed,,0.0
S300,21,M,MBA,Commerce,Tier-3,5,1,5,Advanced,6.24,Not Placed,,0.0
